tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2010-01-20,1016,CARLOS CASARES,Buenos Aires,Protocolo 21,2010,17,CHASIS C/CABINA,136,VOLKSWAGEN,249,17220,1,Privado,Física,CARLOS CASARES,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,1998-03-20,1016,CARLOS CASARES,Buenos Aires,Protocolo 21,1998,17,CHASIS C/CABINA,092,MERCEDES BENZ,265,L-1620,1,Privado,Física,CARLOS CASARES,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2004-03-02,1016,CARLOS CASARES,Buenos Aires,Protocolo 21,2004,28,TRACTOR DE CARRETERA,092,MERCEDES BENZ,759,LS-1634,1,Privado,Física,CARLOS CASARES,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2003-07-25,1016,CARLOS CASARES,Buenos Aires,Nacional,2003,31,SEMIRREMOLQUE,BL,OMBU,19,TOLVA CEREALERA,1,Privado,Física,CARLOS CASARES,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2011-06-02,1016,CARLOS CASARES,Buenos Aires,Nacional,2011,31,SEMIRREMOLQUE,BL,OMBU,04,BI TREN TOLVA CER AÑO 2011,1,Privado,Física,CARLOS CASARES,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2012-02-15,1026,CHIVILCOY Nº 1,Buenos Aires,Nacional,2012,20,PICK-UP,53,VOLKSWAGEN,PU,AMAROK 2.0L TDI 122 CV S22,1,Privado,Física,CHIVILCOY,BUENOS AIRES,Masculino,1985,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2013-08-27,1032,GENERAL ARENALES,Buenos Aires,Nacional,2013,17,SEDAN 5 PUERTAS,34,PEUGEOT,LM,308 ACTIVE HDI,1,Privado,Física,ASCENSIÓN,BUENOS AIRES,Masculino,1986,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2007-11-05,1044,LA PLATA Nº 02,Buenos Aires,Nacional,2007,17,SEDAN 5 PTAS,37,RENAULT,TW,KANGOO PACK PLUS OSHKOSH 1.9D,1,Privado,Física,VILLA ELVIRA,BUENOS AIRES,No identificado,1967,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2014-01-30,1046,LA PLATA Nº 04,Buenos Aires,Protocolo 21,2014,02,SEDAN 4 PUERTAS,044,FIAT,782,GRAND SIENA ATTRACTIVE 1.4 8V,2,Público,Física,LA PLATA,BUENOS AIRES,Femenino,1977,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2010-11-11,1050,LINCOLN Nº 1,Buenos Aires,Nacional,2010,20,PICK-UP,53,VOLKSWAGEN,NN,AMAROK 2.0L TDI 4X2 ST3,1,Privado,Física,ROBERTS,BUENOS AIRES,Femenino,1953,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2021-01-06,1064,MORENO Nº 1,Buenos Aires,Nacional,2021,17,SEDAN 5 PUERTAS,34,PEUGEOT,PM,308 ALLURE 1.6 HDI AM20,1,Privado,Física,MORENO,BUENOS AIRES,Masculino,1959,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2017-08-04,1070,PEHUAJO,Buenos Aires,Protocolo 21,2017,82,PICK-UP CABINA DOBLE,136,VOLKSWAGEN,307,SAVEIRO 1.6,1,Privado,Física,PEHUAJÓ,BUENOS AIRES,Masculino,1961,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2015-02-03,1107,LANUS Nº 2,Buenos Aires,Protocolo 21,2015,04,RURAL 5 PUERTAS,112,RENAULT,930,DUSTER CONFORT PLUS 1.6 4X2 ABS,1,Privado,Física,LANSU OESTE,BUENOS AIRES,Masculino,1969,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2006-06-28,1126,MAR DEL PLATA Nº 04,Buenos Aires,Nacional,2006,17,SEDAN 5 PTAS,34,PEUGEOT,FV,206 PREMIUM 1.9D 5P,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1988,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2014-03-13,1131,CAPILLA DEL SEÑOR,Buenos Aires,Protocolo 21,2014,05,SEDAN 5 PUERTAS,104,PEUGEOT,712,208 FELINE 1.6 N,1,Privado,Física,LOS CARDALES,BUENOS AIRES,Femenino,1979,ARGENTINA,50,06,200
